title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,publishedAt,duration,categoryID
REFLECTION OF LIGHT,dwxaq4c9K6k,364369,1292,141,85,0,2014-02-24T06:55:56.000Z,PT2M57S,27
Reflection : CBSE Class 10 X Science (Physics),HuyEnOZp7XY,686058,5888,602,546,0,2014-01-01T06:07:07.000Z,PT28M10S,27
Laws of Reflection | It's AumSum Time,vt-SG7Pn8UU,1025747,4178,549,281,0,2015-12-18T12:19:11.000Z,PT5M21S,27
prkaash kaa praavrtn (Reflection of Light) - kkssaa 10 vijnyaan (Class 10 Science) - Hindi,wsQ_QnkpKMc,571278,0,0,283,0,2015-09-04T14:16:26.000Z,PT31M3S,27
"Peaceful Music, Relaxing Music, Instrumental Music ""Reflections of Light"" by Tim Janis",cxuAic3vNNQ,81612,975,42,255,0,2017-08-08T06:14:12.000Z,PT1H54M39S,10
Physics: Light - Reflection and Refraction (Part 1),68T8J-aqE18,425974,6230,337,543,0,2017-02-06T01:18:47.000Z,PT3M25S,27
Spherical Mirrors,T5sspQR4TIs,819218,9232,719,778,0,2015-06-30T10:37:17.000Z,PT32M57S,27
prkaash kaa praavrtn ( Reflections of Light ) Class - 10 All board In hindi(1),MOwyJXeos5k,10615,136,14,10,0,2018-01-04T04:12:41.000Z,PT10M24S,27
"Reflections Part 3 - Reflections of Light, by Richard Saucedo",yBwJrZRB6GM,4517,0,0,0,0,2014-09-16T04:34:52.000Z,PT2M32S,27
prkaash kaa apvrtn (Reflections of Light ) polytechnic Entrance in hindi by STUDY KNOWLEDGE,bg4SbO1F0Bg,3226,79,3,12,0,2018-04-05T14:51:46.000Z,PT17M29S,27
Reflections of Light (prkaash kaa praavrtn) in hindi class - 10 Numerical question.,jadsCdaCiIw,2262,73,4,18,0,2018-01-05T02:57:19.000Z,PT9M25S,27
5. Class 12 Physics | Reflection of Light | Types of Reflections | by Ashish Arora,JnpTzEKOHEE,10125,24,5,5,0,2012-11-07T11:29:41.000Z,PT2M47S,27
"Light(prkaash),reflections of light,laws of reflections,image formation in plane mirror,reet,uptet,mp",xW8nAqxD4yo,101,3,0,0,0,2018-01-18T14:12:58.000Z,PT11M1S,22
Law of Reflection Practical Activity for Students,ETF2-Zz3J18,131672,431,38,55,0,2014-10-18T00:35:31.000Z,PT2M57S,27
Sign convention of spherical mirrors.Light : Reflections and Refractions,enkNGYjKbvU,22663,204,33,19,0,2017-01-24T10:42:05.000Z,PT1M31S,27
Reflection (1 of 1) What is the Law of Reflection? An Explanation,F42ARYb8b88,71523,966,33,134,0,2013-11-10T15:37:28.000Z,PT4M5S,27
Reflection of Light and Laws of reflections,WHjnOZtUZTA,7,1,0,0,0,2018-05-13T12:42:32.000Z,PT7M4S,22
Reflections of Light,THAVHBv2ceU,7326,106,10,18,0,2011-04-16T15:56:30.000Z,PT9M14S,27
REFLECTIONS OF LIGHT Part 1,YHd4E-ZdlFY,3268,3,0,0,0,2016-11-29T12:45:10.000Z,PT1M,22
"Formation of Multiple Reflections, Class VIII, Physics, Chapter - Light",MamYf1s93pc,850,3,2,0,0,2017-07-28T06:37:38.000Z,PT1M6S,27
Total Deviation  of Light in Ray Optics after Two Reflections on Plane Mirrors for IIT-JEE and NEET,Uip86lMTZaw,676,11,0,4,0,2018-03-18T09:59:06.000Z,PT8M24S,27
Effects of Total Internal Reflection,MifvDNjMMqo,185558,703,64,0,0,2013-03-19T06:36:22.000Z,PT3M59S,27
Azure Blue | Reflections Of Light,ZuoIMnRyrho,3394,54,1,1,0,2015-05-11T20:28:05.000Z,PT2M49S,10
REFLECTIONS OF LIGHT,qgwE5KU_wn0,19,2,0,0,0,2018-01-24T20:31:44.000Z,PT7M33S,10
"Reflection of Light|Light, Shadows & Reflections|CBSE Class 6 Science|(Hindi)",_l_NmoGR7Mo,36,0,1,0,0,2018-01-10T08:47:45.000Z,PT1M52S,27
ONU Marching Band - Reflections of Light,r5B-IBIWHaw,1377,2,0,4,0,2009-11-10T05:46:25.000Z,PT4M45S,10
WQXR- Reflections of Light Ad,xgJhv77q3Y0,53,0,0,0,0,2018-03-09T16:18:27.000Z,PT34S,10
"Class 6: Science (Chapter 11: Light, Shadows and Reflections)",AfoCatYL-d8,12115,169,25,42,0,2017-11-06T15:30:39.000Z,PT16M50S,27
Physics - Optics: Reflections (1 of 2) Introduction,yMO7Lsjhmi4,96218,350,6,36,0,2013-04-29T05:01:56.000Z,PT4M,27
