title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,publishedAt,duration,categoryID,caption,license,videoLink
REFLECTION OF LIGHT,dwxaq4c9K6k,366814,1301,141,87,0,2014-02-24T06:55:56.000Z,177,27,false,youtube,https://www.youtube.com/watch?v=dwxaq4c9K6k
Reflection : CBSE Class 10 X Science (Physics),HuyEnOZp7XY,692387,5964,609,543,0,2014-01-01T06:07:07.000Z,1690,27,false,youtube,https://www.youtube.com/watch?v=HuyEnOZp7XY
Laws of Reflection | It's AumSum Time,vt-SG7Pn8UU,1029302,4203,551,281,0,2015-12-18T12:19:11.000Z,321,27,true,youtube,https://www.youtube.com/watch?v=vt-SG7Pn8UU
prkaash kaa praavrtn (Reflection of Light) - kkssaa 10 vijnyaan (Class 10 Science) - Hindi,wsQ_QnkpKMc,579668,0,0,296,0,2015-09-04T14:16:26.000Z,1863,27,false,creativeCommon,https://www.youtube.com/watch?v=wsQ_QnkpKMc
"Peaceful Music, Relaxing Music, Instrumental Music ""Reflections of Light"" by Tim Janis",cxuAic3vNNQ,81700,976,42,255,0,2017-08-08T06:14:12.000Z,6879,10,false,youtube,https://www.youtube.com/watch?v=cxuAic3vNNQ
Physics: Light - Reflection and Refraction (Part 1),68T8J-aqE18,431135,6305,342,548,0,2017-02-06T01:18:47.000Z,205,27,false,youtube,https://www.youtube.com/watch?v=68T8J-aqE18
"Reflections Part 3 - Reflections of Light, by Richard Saucedo",yBwJrZRB6GM,4567,0,0,0,0,2014-09-16T04:34:52.000Z,152,27,false,youtube,https://www.youtube.com/watch?v=yBwJrZRB6GM
"Light(prkaash),reflections of light,laws of reflections,image formation in plane mirror,reet,uptet,mp",xW8nAqxD4yo,103,3,0,0,0,2018-01-18T14:12:58.000Z,661,22,false,youtube,https://www.youtube.com/watch?v=xW8nAqxD4yo
Spherical Mirrors,T5sspQR4TIs,824927,9310,728,780,0,2015-06-30T10:37:17.000Z,1977,27,false,youtube,https://www.youtube.com/watch?v=T5sspQR4TIs
Reflections of Light (prkaash kaa praavrtn) in hindi class - 10 Numerical question.,jadsCdaCiIw,2371,75,5,18,0,2018-01-05T02:57:19.000Z,565,27,false,youtube,https://www.youtube.com/watch?v=jadsCdaCiIw
prkaash kaa praavrtn ( Reflections of Light ) Class - 10 All board In hindi(1),MOwyJXeos5k,11225,141,16,10,0,2018-01-04T04:12:41.000Z,624,27,false,youtube,https://www.youtube.com/watch?v=MOwyJXeos5k
prkaash kaa apvrtn (Reflections of Light ) polytechnic Entrance in hindi by STUDY KNOWLEDGE,bg4SbO1F0Bg,3250,80,3,12,0,2018-04-05T14:51:46.000Z,1049,27,false,youtube,https://www.youtube.com/watch?v=bg4SbO1F0Bg
5. Class 12 Physics | Reflection of Light | Types of Reflections | by Ashish Arora,JnpTzEKOHEE,10166,25,5,5,0,2012-11-07T11:29:41.000Z,167,27,true,youtube,https://www.youtube.com/watch?v=JnpTzEKOHEE
